0,1,2
70000000,2014,2014-11-05
19000000,2014,2014-11-05
10500000,2014,2014-11-05
4300000,2014,2014-10-28
1500000,2014,2014-10-15
2400000,2014,2014-10-15
2200000,2014,2014-10-15
4500000,2014,2014-10-15
57000000,2014,2014-10-14
4000000,2014,2014-10-01
1100000,2014,2014-09-30
90000000,2014,2014-09-25
18000000,2014,2014-09-25
3900000,2014,2014-08-28
13500000,2014,2014-08-28
1600000,2014,2014-08-28
3900000,2014,2014-08-28
1600000,2014,2014-07-15
3200000,2014,2014-07-08
4000000,2014,2014-06-25
1100000,2014,2014-06-24
7500000,2014,2014-06-24
29000000,2014,2014-06-18
8000000,2014,2014-06-17
1800000,2014,2014-05-20
1800000,2014,2014-05-20
1200000,2014,2014-04-16
16000000,2014,2014-04-08
75000000,2014,2014-03-27
5800000,2014,2014-03-27
5800000,2014,2014-03-27
6000000,2014,2014-03-26
18000000,2014,2014-03-12
17000000,2014,2014-03-12
8300000,2014,2014-01-28
3600000,2014,2014-01-22
6600000,2013,2013-12-19
130000000,2013,2013-12-18
2600000,2013,2013-12-17
12000000,2013,2013-12-11
220000000,2013,2013-12-11
82000000,2013,2013-12-11
4400000,2013,2013-12-10
6500000,2013,2013-12-10
4000000,2013,2013-12-05
10000000,2013,2013-11-19
10500000,2013,2013-10-02
55000000,2013,2013-09-11
15000000,2013,2013-09-11
65000000,2013,2013-09-11
90000000,2013,2013-09-11
1300000,2013,2013-09-10
7900000,2013,2013-09-03
900000,2013,2013-07-24
1600000,2013,2013-07-23
17500000,2013,2013-06-28
120000000,2013,2013-06-26
10000000,2013,2013-06-08
10000000,2013,2013-06-08
1500000,2013,2013-05-15
1100000,2013,2013-04-25
7300000,2013,2013-03-28
1000000,2013,2013-03-21
6000000,2013,2013-03-20
95000000,2013,2013-03-20
63000000,2013,2013-03-20
800000,2013,2013-03-05
2450000,2013,2013-02-20
1600000,2013,2013-02-20
3900000,2013,2013-02-20
6000000,2013,2013-01-31
7500000,2013,2013-01-31
78000000,2013,2013-01-30
5000000,2013,2013-01-30
3600000,2013,2013-01-28
12000000,2013,2013-01-23
3000000,2013,2013-01-17
7000000,2012,2012-12-11
8500000,2012,2012-12-06
25000000,2012,2012-12-05
40000000,2012,2012-12-05
4500000,2012,2012-12-04
1500000,2012,2012-10-24
1500000,2012,2012-10-24
8500000,2012,2012-09-21
10000000,2012,2012-09-05
8000000,2012,2012-09-03
1150000,2012,2012-08-22
550000,2012,2012-08-22
1900000,2012,2012-08-14
50000000,2012,2012-08-14
6000000,2012,2012-07-19
130000000,2012,2012-07-19
1200000,2012,2012-07-18
260000000,2012,2012-06-27
130000000,2012,2012-06-27
800000,2012,2012-06-09
10000000,2012,2012-06-09
1000000,2012,2012-05-09
5000000,2012,2012-04-26
73000000,2012,2012-04-24
